#source_id,id2,RA,Dec,gl,gb,amplitude,beyond1std,fpr_mid20,fpr_mid35,fpr_mid50,fpr_mid65,fpr_mid80,linear_trend,max_slope,med_abs_dev,med_buf_range_per,pair_slope_trend,percent_amplitude,pdfp,skew,kurtosis,std,magratio,data_num,npeaks,peakstats,class
CSS101111:001158+315544,5110513200131015951,2.992832,31.928936,42.072030,-30.019635,0.702175,0.440000,0.170342,0.390212,0.592590,0.861417,0.957067,-0.000011,31.782768,0.395840,1.000000,0.583333,0.915805,1.292504,-0.185211,-1.294452,0.447274,0.480000,25,2,0.144,0
CSS101114:035827+062919,9110910702211013660,59.612989,6.488746,152.291695,-33.059092,0.921786,0.352941,0.079746,0.253116,0.456600,0.546429,0.913578,0.000540,145.529717,0.380510,1.000000,0.500000,1.421370,1.756056,-0.156507,-0.966629,0.556570,0.470588,17,1,0.000,0
CSS101115:074820+245759,10111512303911054813,117.083238,24.966406,140.000260,23.596502,1.139540,0.200000,0.320258,0.560452,0.800645,0.875403,0.950161,0.067724,142.806358,0.037571,0.800000,0.750000,0.873119,0.865208,0.738841,-1.132973,0.918482,0.400000,5,0,0.000,0
CSS101116:032840-010240,6010500101911020717,52.166020,-1.044485,150.692841,-43.568150,3.229800,0.636364,0.304876,0.311358,0.652274,0.992130,0.995431,-0.001923,2.183838,1.284314,0.545455,0.500000,2.263815,3.240499,0.139401,-1.793447,2.592908,0.454545,11,0,0.000,0
CSS101116:204001-144908,1015107081397,310.005901,-14.819071,124.331584,-31.158775,1.495000,0.407407,0.217235,0.405721,0.669974,0.805259,0.955733,-0.000231,81.277213,0.590000,0.962963,0.461538,1.355049,1.656277,0.549545,-0.596686,0.774192,0.481481,27,3,0.073,0
CSS101127:000130+050624,1104001042684,0.376830,5.106635,54.227094,-55.528864,2.990000,0.158416,0.004532,0.008334,0.010875,0.016507,0.200629,-0.000230,395.348837,0.340000,0.861386,0.466667,80.658237,56.015067,-2.023650,3.052493,1.450717,0.495050,101,4,0.315,0
CSS101127:014150+090822,1109009013183,25.460022,9.139383,191.855127,-51.283821,3.220000,0.140625,0.005244,0.010148,0.013525,0.028626,0.060375,-0.000506,467.836257,0.355000,0.921875,0.600000,126.057411,49.387968,-2.336263,5.248872,1.346193,0.492188,128,6,0.125,0
CSS101128:110259+414522,6050514004611023376,165.745951,41.755983,163.469938,64.049005,0.544635,0.250000,0.078308,0.184751,0.361125,0.510767,0.860388,-0.000090,85.944444,0.154181,1.000000,0.545455,0.513535,0.750951,1.142125,0.270324,0.319024,0.500000,12,0,0.000,0
CSS101130:052520-030251,6122200402931054054,81.333910,-3.047704,130.140597,-19.935901,0.304611,0.600000,0.340774,0.596355,0.851936,0.907460,0.962984,-0.000361,27.625258,0.160779,1.000000,0.250000,0.338358,0.480193,0.296308,-1.768742,0.259904,0.400000,5,0,0.000,0
CSS101130:102616+192045,1118054050380,156.566854,19.345872,116.923692,56.394243,3.155000,0.117949,0.002965,0.005997,0.009136,0.012652,0.029389,-0.000146,436.734694,0.340000,0.907692,0.533333,99.000000,68.449335,-2.356495,4.522118,1.446977,0.476923,195,5,0.363,0
CSS101201:035859-201430,7110402102141027819,59.747183,-20.241654,121.720773,-46.220375,1.077212,0.400000,0.170325,0.380284,0.548074,0.743552,0.937772,-0.000113,72.347763,0.641339,1.000000,0.666667,1.622268,2.129266,-0.026234,-1.316613,0.718062,0.500000,10,1,0.000,0
CSS101203:085414+390537,1138039055434,133.558123,39.093752,152.440068,40.410184,2.430000,0.353659,0.099425,0.169123,0.267115,0.480320,0.668106,0.000075,345.679012,0.730000,0.917683,0.400000,10.802706,6.647422,-0.480212,-0.762210,1.023935,0.500000,328,19,0.313,0
CSS101204:012100+325545,1132007049887,20.248393,32.929393,205.311600,-29.193770,3.930000,0.086066,0.115824,0.187571,0.290773,0.431934,0.646034,-0.000426,444.444444,0.250000,0.959016,0.533333,324.087297,1.607386,-4.006052,18.460344,1.075566,0.491803,244,4,0.008,0
CSS101207:020804+373217,1138010026218,32.017504,37.537932,196.129941,-22.464814,1.600000,0.053571,0.136260,0.214418,0.296100,0.370355,0.516081,0.000021,88.888889,0.130000,0.964286,0.533333,12.061709,0.806081,-3.751633,14.266307,0.508191,0.486607,224,4,0.295,0
